InstanceType,vCPUs,MemoryMiB,GPUs
r5b.xlarge,4,32768,0
r5d.12xlarge,48,393216,0
r5d.16xlarge,64,524288,0
r5d.24xlarge,96,786432,0
r5d.2xlarge,8,65536,0
r5d.4xlarge,16,131072,0
r5d.8xlarge,32,262144,0
r5d.large,2,16384,0
r5d.metal,96,786432,0
r5d.xlarge,4,32768,0
r5dn.12xlarge,48,393216,0
r5dn.16xlarge,64,524288,0
r5dn.24xlarge,96,786432,0
r5dn.2xlarge,8,65536,0
r5dn.4xlarge,16,131072,0
r5dn.8xlarge,32,262144,0
r5dn.large,2,16384,0
r5dn.metal,96,786432,0
r5dn.xlarge,4,32768,0
r5n.12xlarge,48,393216,0
r5n.16xlarge,64,524288,0
r5n.24xlarge,96,786432,0
r5n.2xlarge,8,65536,0
r5n.4xlarge,16,131072,0
r5n.8xlarge,32,262144,0
r5n.large,2,16384,0
r5n.metal,96,786432,0
r5n.xlarge,4,32768,0
r6a.12xlarge,48,393216,0
r6a.16xlarge,64,524288,0
r6a.24xlarge,96,786432,0
r6a.2xlarge,8,65536,0
r6a.32xlarge,128,1048576,0
r6a.48xlarge,192,1572864,0
r6a.4xlarge,16,131072,0
r6a.8xlarge,32,262144,0
r6a.large,2,16384,0
r6a.metal,192,1572864,0
r6a.xlarge,4,32768,0
r6g.12xlarge,48,393216,0
r6g.16xlarge,64,524288,0
r6g.2xlarge,8,65536,0
r6g.4xlarge,16,131072,0
r6g.8xlarge,32,262144,0
r6g.large,2,16384,0
r6g.medium,1,8192,0
r6g.metal,64,524288,0
r6g.xlarge,4,32768,0
r6gd.12xlarge,48,393216,0
r6gd.16xlarge,64,524288,0
r6gd.2xlarge,8,65536,0
r6gd.4xlarge,16,131072,0
r6gd.8xlarge,32,262144,0
r6gd.large,2,16384,0
r6gd.medium,1,8192,0
r6gd.metal,64,524288,0
r6gd.xlarge,4,32768,0
r6i.12xlarge,48,393216,0
r6i.16xlarge,64,524288,0
r6i.24xlarge,96,786432,0
r6i.2xlarge,8,65536,0
r6i.32xlarge,128,1048576,0
r6i.4xlarge,16,131072,0
r6i.8xlarge,32,262144,0
r6i.large,2,16384,0
r6i.metal,128,1048576,0
r6i.xlarge,4,32768,0
r6id.12xlarge,48,393216,0
r6id.16xlarge,64,524288,0
r6id.24xlarge,96,786432,0
r6id.2xlarge,8,65536,0
r6id.32xlarge,128,1048576,0
r6id.4xlarge,16,131072,0
r6id.8xlarge,32,262144,0
r6id.large,2,16384,0
r6id.metal,128,1048576,0
r6id.xlarge,4,32768,0
r6idn.12xlarge,48,393216,0
r6idn.16xlarge,64,524288,0
r6idn.24xlarge,96,786432,0
r6idn.2xlarge,8,65536,0
r6idn.32xlarge,128,1048576,0
r6idn.4xlarge,16,131072,0
r6idn.8xlarge,32,262144,0
r6idn.large,2,16384,0
r6idn.metal,128,1048576,0
r6idn.xlarge,4,32768,0
r6in.12xlarge,48,393216,0
r6in.16xlarge,64,524288,0
r6in.24xlarge,96,786432,0
r6in.2xlarge,8,65536,0
r6in.32xlarge,128,1048576,0
r6in.4xlarge,16,131072,0
r6in.8xlarge,32,262144,0
r6in.large,2,16384,0
r6in.metal,128,1048576,0
r6in.xlarge,4,32768,0
r7a.12xlarge,48,393216,0
r7a.16xlarge,64,524288,0
r7a.24xlarge,96,786432,0
r7a.2xlarge,8,65536,0
r7a.32xlarge,128,1048576,0
r7a.48xlarge,192,1572864,0
r7a.4xlarge,16,131072,0
r7a.8xlarge,32,262144,0
r7a.large,2,16384,0
